gene;sample;mutated;label;year
CMY;133;0;β-lactamases;2012
CTX-M;133;0;β-lactamases;2012
DHA;133;0;β-lactamases;2012
FOX;133;0;β-lactamases;2012
GES;133;0;β-lactamases;2012
IMP;133;0;β-lactamases;2012
LAP;133;0;β-lactamases;2012
OXA;133;0;β-lactamases;2012
PSE;133;0;β-lactamases;2012
SHV;133;0;β-lactamases;2012
TEM;133;1;β-lactamases;2012
VEB;133;0;β-lactamases;2012
umuC/D;133;0;features;2012
Plasmid-segregation;133;0;features;2012
Toxin-antitoxin;133;0;features;2012
psiA/B;133;0;features;2012
Mercuric Res.;133;0;features;2012
Copper Res.;133;0;features;2012
Arsenic Res.;133;0;features;2012
IncA/C;133;0;Inc-group;2012
IncA/C2;133;0;Inc-group;2012
IncFIA;133;0;Inc-group;2012
IncFIB;133;0;Inc-group;2012
IncFIC;133;0;Inc-group;2012
IncFII;133;0;Inc-group;2012
IncHI1A;133;0;Inc-group;2012
IncHI1B;133;0;Inc-group;2012
IncHI2;133;0;Inc-group;2012
IncHI2A;133;0;Inc-group;2012
IncI2;133;0;Inc-group;2012
IncL/M;133;0;Inc-group;2012
IncN;133;0;Inc-group;2012
IncN2;133;0;Inc-group;2012
IncN3;133;0;Inc-group;2012
IncP;133;0;Inc-group;2012
IncQ1;133;0;Inc-group;2012
IncQ2;133;0;Inc-group;2012
IncU;133;0;Inc-group;2012
IncX3;133;0;Inc-group;2012
IncY;133;0;Inc-group;2012
Acinetobacter;133;0;Organism;2012
Aeromonas;133;0;Organism;2012
Citrobacter;133;0;Organism;2012
Enterbacter;133;0;Organism;2012
Enterobacter;133;4;Organism;2012
Enterobacteriaceae;133;0;Organism;2012
Escherichia;133;0;Organism;2012
Klebsiella;133;0;Organism;2012
Leclercia;133;0;Organism;2012
Morganella;133;0;Organism;2012
Pantoea;133;0;Organism;2012
Proteus;133;0;Organism;2012
Pseudomonas;133;0;Organism;2012
Raoultella;133;0;Organism;2012
Salmonella;133;0;Organism;2012
Serratia;133;0;Organism;2012
Resolvase found;133;5;Transpos.;2012
Tn4401;;5;Transpos.;2012
Tn4401 fragmented;;0;Transpos.;2012
CMY;67;0;β-lactamases;2007
CTX-M;67;0;β-lactamases;2007
DHA;67;0;β-lactamases;2007
FOX;67;0;β-lactamases;2007
GES;67;0;β-lactamases;2007
IMP;67;0;β-lactamases;2007
LAP;67;0;β-lactamases;2007
OXA;67;0;β-lactamases;2007
PSE;67;0;β-lactamases;2007
SHV;67;0;β-lactamases;2007
TEM;67;0;β-lactamases;2007
VEB;67;0;β-lactamases;2007
umuC/D;67;2;features;2007
Plasmid-segregation;67;2;features;2007
Toxin-antitoxin;67;0;features;2007
psiA/B;67;2;features;2007
Mercuric Res.;67;2;features;2007
Copper Res.;67;2;features;2007
Arsenic Res.;67;2;features;2007
IncA/C;67;0;Inc-group;2007
IncA/C2;67;0;Inc-group;2007
IncFIA;67;0;Inc-group;2007
IncFIB;67;0;Inc-group;2007
IncFIC;67;0;Inc-group;2007
IncFII;67;3;Inc-group;2007
IncHI1A;67;0;Inc-group;2007
IncHI1B;67;0;Inc-group;2007
IncHI2;67;0;Inc-group;2007
IncHI2A;67;0;Inc-group;2007
IncI2;67;0;Inc-group;2007
IncL/M;67;0;Inc-group;2007
IncN;67;0;Inc-group;2007
IncN2;67;0;Inc-group;2007
IncN3;67;0;Inc-group;2007
IncP;67;0;Inc-group;2007
IncQ1;67;0;Inc-group;2007
IncQ2;67;0;Inc-group;2007
IncU;67;0;Inc-group;2007
IncX3;67;0;Inc-group;2007
IncY;67;0;Inc-group;2007
Acinetobacter;67;0;Organism;2007
Aeromonas;67;0;Organism;2007
Citrobacter;67;0;Organism;2007
Enterbacter;67;0;Organism;2007
Enterobacter;67;0;Organism;2007
Enterobacteriaceae;67;0;Organism;2007
Escherichia;67;0;Organism;2007
Klebsiella;67;4;Organism;2007
Leclercia;67;0;Organism;2007
Morganella;67;0;Organism;2007
Pantoea;67;0;Organism;2007
Proteus;67;0;Organism;2007
Pseudomonas;67;0;Organism;2007
Raoultella;67;0;Organism;2007
Salmonella;67;0;Organism;2007
Serratia;67;0;Organism;2007
Resolvase found;67;5;Transpos.;2007
Tn4401;;5;Transpos.;2007
Tn4401 fragmented;;0;Transpos.;2007
CMY;65;0;β-lactamases;2013
CTX-M;65;0;β-lactamases;2013
DHA;65;0;β-lactamases;2013
FOX;65;0;β-lactamases;2013
GES;65;0;β-lactamases;2013
IMP;65;0;β-lactamases;2013
LAP;65;0;β-lactamases;2013
OXA;65;1;β-lactamases;2013
PSE;65;0;β-lactamases;2013
SHV;65;1;β-lactamases;2013
TEM;65;1;β-lactamases;2013
VEB;65;0;β-lactamases;2013
umuC/D;65;2;features;2013
Plasmid-segregation;65;2;features;2013
Toxin-antitoxin;65;2;features;2013
psiA/B;65;2;features;2013
Mercuric Res.;65;0;features;2013
Copper Res.;65;0;features;2013
Arsenic Res.;65;0;features;2013
IncA/C;65;0;Inc-group;2013
IncA/C2;65;0;Inc-group;2013
IncFIA;65;0;Inc-group;2013
IncFIB;65;0;Inc-group;2013
IncFIC;65;0;Inc-group;2013
IncFII;65;0;Inc-group;2013
IncHI1A;65;0;Inc-group;2013
IncHI1B;65;0;Inc-group;2013
IncHI2;65;0;Inc-group;2013
IncHI2A;65;0;Inc-group;2013
IncI2;65;0;Inc-group;2013
IncL/M;65;0;Inc-group;2013
IncN;65;0;Inc-group;2013
IncN2;65;0;Inc-group;2013
IncN3;65;0;Inc-group;2013
IncP;65;0;Inc-group;2013
IncQ1;65;0;Inc-group;2013
IncQ2;65;0;Inc-group;2013
IncU;65;0;Inc-group;2013
IncX3;65;3;Inc-group;2013
IncY;65;0;Inc-group;2013
Acinetobacter;65;0;Organism;2013
Aeromonas;65;0;Organism;2013
Citrobacter;65;4;Organism;2013
Enterbacter;65;0;Organism;2013
Enterobacter;65;0;Organism;2013
Enterobacteriaceae;65;0;Organism;2013
Escherichia;65;4;Organism;2013
Klebsiella;65;4;Organism;2013
Leclercia;65;0;Organism;2013
Morganella;65;0;Organism;2013
Pantoea;65;0;Organism;2013
Proteus;65;0;Organism;2013
Pseudomonas;65;0;Organism;2013
Raoultella;65;0;Organism;2013
Salmonella;65;0;Organism;2013
Serratia;65;4;Organism;2013
Resolvase found;65;5;Transpos.;2013
Tn4401;;5;Transpos.;2013
Tn4401 fragmented;;0;Transpos.;2013
CMY;90;0;β-lactamases;2012
CTX-M;90;0;β-lactamases;2012
DHA;90;0;β-lactamases;2012
FOX;90;0;β-lactamases;2012
GES;90;0;β-lactamases;2012
IMP;90;0;β-lactamases;2012
LAP;90;0;β-lactamases;2012
OXA;90;1;β-lactamases;2012
PSE;90;0;β-lactamases;2012
SHV;90;0;β-lactamases;2012
TEM;90;1;β-lactamases;2012
VEB;90;0;β-lactamases;2012
umuC/D;90;2;features;2012
Plasmid-segregation;90;0;features;2012
Toxin-antitoxin;90;0;features;2012
psiA/B;90;0;features;2012
Mercuric Res.;90;2;features;2012
Copper Res.;90;0;features;2012
Arsenic Res.;90;0;features;2012
IncA/C;90;0;Inc-group;2012
IncA/C2;90;0;Inc-group;2012
IncFIA;90;0;Inc-group;2012
IncFIB;90;0;Inc-group;2012
IncFIC;90;0;Inc-group;2012
IncFII;90;0;Inc-group;2012
IncHI1A;90;0;Inc-group;2012
IncHI1B;90;0;Inc-group;2012
IncHI2;90;0;Inc-group;2012
IncHI2A;90;0;Inc-group;2012
IncI2;90;0;Inc-group;2012
IncL/M;90;0;Inc-group;2012
IncN;90;3;Inc-group;2012
IncN2;90;0;Inc-group;2012
IncN3;90;0;Inc-group;2012
IncP;90;0;Inc-group;2012
IncQ1;90;0;Inc-group;2012
IncQ2;90;0;Inc-group;2012
IncU;90;0;Inc-group;2012
IncX3;90;0;Inc-group;2012
IncY;90;0;Inc-group;2012
Acinetobacter;90;0;Organism;2012
Aeromonas;90;0;Organism;2012
Citrobacter;90;4;Organism;2012
Enterbacter;90;0;Organism;2012
Enterobacter;90;4;Organism;2012
Enterobacteriaceae;90;0;Organism;2012
Escherichia;90;4;Organism;2012
Klebsiella;90;4;Organism;2012
Leclercia;90;0;Organism;2012
Morganella;90;0;Organism;2012
Pantoea;90;0;Organism;2012
Proteus;90;0;Organism;2012
Pseudomonas;90;0;Organism;2012
Raoultella;90;0;Organism;2012
Salmonella;90;0;Organism;2012
Serratia;90;0;Organism;2012
Resolvase found;90;5;Transpos.;2012
Tn4401;;0;Transpos.;2012
Tn4401 fragmented;;5;Transpos.;2012
CMY;84;0;β-lactamases;2010
CTX-M;84;0;β-lactamases;2010
DHA;84;0;β-lactamases;2010
FOX;84;0;β-lactamases;2010
GES;84;0;β-lactamases;2010
IMP;84;0;β-lactamases;2010
LAP;84;0;β-lactamases;2010
OXA;84;1;β-lactamases;2010
PSE;84;0;β-lactamases;2010
SHV;84;0;β-lactamases;2010
TEM;84;1;β-lactamases;2010
VEB;84;0;β-lactamases;2010
umuC/D;84;2;features;2010
Plasmid-segregation;84;2;features;2010
Toxin-antitoxin;84;2;features;2010
psiA/B;84;0;features;2010
Mercuric Res.;84;2;features;2010
Copper Res.;84;0;features;2010
Arsenic Res.;84;0;features;2010
IncA/C;84;0;Inc-group;2010
IncA/C2;84;0;Inc-group;2010
IncFIA;84;0;Inc-group;2010
IncFIB;84;0;Inc-group;2010
IncFIC;84;0;Inc-group;2010
IncFII;84;0;Inc-group;2010
IncHI1A;84;0;Inc-group;2010
IncHI1B;84;0;Inc-group;2010
IncHI2;84;0;Inc-group;2010
IncHI2A;84;0;Inc-group;2010
IncI2;84;0;Inc-group;2010
IncL/M;84;0;Inc-group;2010
IncN;84;0;Inc-group;2010
IncN2;84;0;Inc-group;2010
IncN3;84;0;Inc-group;2010
IncP;84;0;Inc-group;2010
IncQ1;84;0;Inc-group;2010
IncQ2;84;0;Inc-group;2010
IncU;84;0;Inc-group;2010
IncX3;84;0;Inc-group;2010
IncY;84;0;Inc-group;2010
Acinetobacter;84;0;Organism;2010
Aeromonas;84;0;Organism;2010
Citrobacter;84;0;Organism;2010
Enterbacter;84;0;Organism;2010
Enterobacter;84;0;Organism;2010
Enterobacteriaceae;84;0;Organism;2010
Escherichia;84;4;Organism;2010
Klebsiella;84;4;Organism;2010
Leclercia;84;0;Organism;2010
Morganella;84;0;Organism;2010
Pantoea;84;0;Organism;2010
Proteus;84;0;Organism;2010
Pseudomonas;84;0;Organism;2010
Raoultella;84;0;Organism;2010
Salmonella;84;0;Organism;2010
Serratia;84;0;Organism;2010
Resolvase found;84;5;Transpos.;2010
Tn4401;;5;Transpos.;2010
Tn4401 fragmented;;0;Transpos.;2010
CMY;46;0;β-lactamases;2011
CTX-M;46;0;β-lactamases;2011
DHA;46;0;β-lactamases;2011
FOX;46;0;β-lactamases;2011
GES;46;0;β-lactamases;2011
IMP;46;0;β-lactamases;2011
LAP;46;0;β-lactamases;2011
OXA;46;1;β-lactamases;2011
PSE;46;0;β-lactamases;2011
SHV;46;0;β-lactamases;2011
TEM;46;1;β-lactamases;2011
VEB;46;0;β-lactamases;2011
umuC/D;46;2;features;2011
Plasmid-segregation;46;2;features;2011
Toxin-antitoxin;46;2;features;2011
psiA/B;46;2;features;2011
Mercuric Res.;46;0;features;2011
Copper Res.;46;0;features;2011
Arsenic Res.;46;0;features;2011
IncA/C;46;0;Inc-group;2011
IncA/C2;46;0;Inc-group;2011
IncFIA;46;3;Inc-group;2011
IncFIB;46;0;Inc-group;2011
IncFIC;46;0;Inc-group;2011
IncFII;46;0;Inc-group;2011
IncHI1A;46;0;Inc-group;2011
IncHI1B;46;0;Inc-group;2011
IncHI2;46;0;Inc-group;2011
IncHI2A;46;0;Inc-group;2011
IncI2;46;0;Inc-group;2011
IncL/M;46;0;Inc-group;2011
IncN;46;0;Inc-group;2011
IncN2;46;0;Inc-group;2011
IncN3;46;0;Inc-group;2011
IncP;46;0;Inc-group;2011
IncQ1;46;0;Inc-group;2011
IncQ2;46;0;Inc-group;2011
IncU;46;0;Inc-group;2011
IncX3;46;0;Inc-group;2011
IncY;46;0;Inc-group;2011
Acinetobacter;46;0;Organism;2011
Aeromonas;46;0;Organism;2011
Citrobacter;46;0;Organism;2011
Enterbacter;46;0;Organism;2011
Enterobacter;46;4;Organism;2011
Enterobacteriaceae;46;0;Organism;2011
Escherichia;46;0;Organism;2011
Klebsiella;46;0;Organism;2011
Leclercia;46;0;Organism;2011
Morganella;46;0;Organism;2011
Pantoea;46;0;Organism;2011
Proteus;46;0;Organism;2011
Pseudomonas;46;0;Organism;2011
Raoultella;46;0;Organism;2011
Salmonella;46;0;Organism;2011
Serratia;46;0;Organism;2011
Resolvase found;46;5;Transpos.;2011
Tn4401;;5;Transpos.;2011
Tn4401 fragmented;;0;Transpos.;2011
CMY;76;0;β-lactamases;2011
CTX-M;76;0;β-lactamases;2011
DHA;76;0;β-lactamases;2011
FOX;76;0;β-lactamases;2011
GES;76;0;β-lactamases;2011
IMP;76;0;β-lactamases;2011
LAP;76;0;β-lactamases;2011
OXA;76;0;β-lactamases;2011
PSE;76;0;β-lactamases;2011
SHV;76;0;β-lactamases;2011
TEM;76;1;β-lactamases;2011
VEB;76;0;β-lactamases;2011
umuC/D;76;2;features;2011
Plasmid-segregation;76;2;features;2011
Toxin-antitoxin;76;0;features;2011
psiA/B;76;0;features;2011
Mercuric Res.;76;2;features;2011
Copper Res.;76;0;features;2011
Arsenic Res.;76;0;features;2011
IncA/C;76;0;Inc-group;2011
IncA/C2;76;0;Inc-group;2011
IncFIA;76;0;Inc-group;2011
IncFIB;76;0;Inc-group;2011
IncFIC;76;0;Inc-group;2011
IncFII;76;0;Inc-group;2011
IncHI1A;76;0;Inc-group;2011
IncHI1B;76;0;Inc-group;2011
IncHI2;76;0;Inc-group;2011
IncHI2A;76;0;Inc-group;2011
IncI2;76;0;Inc-group;2011
IncL/M;76;0;Inc-group;2011
IncN;76;0;Inc-group;2011
IncN2;76;0;Inc-group;2011
IncN3;76;0;Inc-group;2011
IncP;76;0;Inc-group;2011
IncQ1;76;0;Inc-group;2011
IncQ2;76;0;Inc-group;2011
IncU;76;0;Inc-group;2011
IncX3;76;0;Inc-group;2011
IncY;76;0;Inc-group;2011
Acinetobacter;76;0;Organism;2011
Aeromonas;76;0;Organism;2011
Citrobacter;76;0;Organism;2011
Enterbacter;76;0;Organism;2011
Enterobacter;76;4;Organism;2011
Enterobacteriaceae;76;0;Organism;2011
Escherichia;76;0;Organism;2011
Klebsiella;76;0;Organism;2011
Leclercia;76;0;Organism;2011
Morganella;76;0;Organism;2011
Pantoea;76;0;Organism;2011
Proteus;76;0;Organism;2011
Pseudomonas;76;0;Organism;2011
Raoultella;76;0;Organism;2011
Salmonella;76;0;Organism;2011
Serratia;76;0;Organism;2011
Resolvase found;76;5;Transpos.;2011
Tn4401;;5;Transpos.;2011
Tn4401 fragmented;;0;Transpos.;2011
CMY;6;0;β-lactamases;2010
CTX-M;6;0;β-lactamases;2010
DHA;6;0;β-lactamases;2010
FOX;6;0;β-lactamases;2010
GES;6;0;β-lactamases;2010
IMP;6;0;β-lactamases;2010
LAP;6;0;β-lactamases;2010
OXA;6;1;β-lactamases;2010
PSE;6;0;β-lactamases;2010
SHV;6;0;β-lactamases;2010
TEM;6;1;β-lactamases;2010
VEB;6;0;β-lactamases;2010
umuC/D;6;2;features;2010
Plasmid-segregation;6;2;features;2010
Toxin-antitoxin;6;2;features;2010
psiA/B;6;0;features;2010
Mercuric Res.;6;0;features;2010
Copper Res.;6;0;features;2010
Arsenic Res.;6;0;features;2010
IncA/C;6;0;Inc-group;2010
IncA/C2;6;0;Inc-group;2010
IncFIA;6;0;Inc-group;2010
IncFIB;6;0;Inc-group;2010
IncFIC;6;0;Inc-group;2010
IncFII;6;0;Inc-group;2010
IncHI1A;6;0;Inc-group;2010
IncHI1B;6;0;Inc-group;2010
IncHI2;6;0;Inc-group;2010
IncHI2A;6;0;Inc-group;2010
IncI2;6;0;Inc-group;2010
IncL/M;6;0;Inc-group;2010
IncN;6;0;Inc-group;2010
IncN2;6;0;Inc-group;2010
IncN3;6;0;Inc-group;2010
IncP;6;0;Inc-group;2010
IncQ1;6;0;Inc-group;2010
IncQ2;6;0;Inc-group;2010
IncU;6;0;Inc-group;2010
IncX3;6;0;Inc-group;2010
IncY;6;0;Inc-group;2010
Acinetobacter;6;0;Organism;2010
Aeromonas;6;0;Organism;2010
Citrobacter;6;4;Organism;2010
Enterbacter;6;0;Organism;2010
Enterobacter;6;0;Organism;2010
Enterobacteriaceae;6;0;Organism;2010
Escherichia;6;0;Organism;2010
Klebsiella;6;0;Organism;2010
Leclercia;6;0;Organism;2010
Morganella;6;0;Organism;2010
Pantoea;6;0;Organism;2010
Proteus;6;0;Organism;2010
Pseudomonas;6;0;Organism;2010
Raoultella;6;0;Organism;2010
Salmonella;6;0;Organism;2010
Serratia;6;0;Organism;2010
Resolvase found;6;5;Transpos.;2010
Tn4401;;5;Transpos.;2010
Tn4401 fragmented;;0;Transpos.;2010
CMY;19;0;β-lactamases;2010
CTX-M;19;0;β-lactamases;2010
DHA;19;0;β-lactamases;2010
FOX;19;0;β-lactamases;2010
GES;19;0;β-lactamases;2010
IMP;19;0;β-lactamases;2010
LAP;19;0;β-lactamases;2010
OXA;19;1;β-lactamases;2010
PSE;19;0;β-lactamases;2010
SHV;19;1;β-lactamases;2010
TEM;19;1;β-lactamases;2010
VEB;19;0;β-lactamases;2010
umuC/D;19;0;features;2010
Plasmid-segregation;19;0;features;2010
Toxin-antitoxin;19;2;features;2010
psiA/B;19;0;features;2010
Mercuric Res.;19;2;features;2010
Copper Res.;19;0;features;2010
Arsenic Res.;19;0;features;2010
IncA/C;19;0;Inc-group;2010
IncA/C2;19;3;Inc-group;2010
IncFIA;19;0;Inc-group;2010
IncFIB;19;0;Inc-group;2010
IncFIC;19;0;Inc-group;2010
IncFII;19;0;Inc-group;2010
IncHI1A;19;0;Inc-group;2010
IncHI1B;19;0;Inc-group;2010
IncHI2;19;0;Inc-group;2010
IncHI2A;19;0;Inc-group;2010
IncI2;19;0;Inc-group;2010
IncL/M;19;0;Inc-group;2010
IncN;19;0;Inc-group;2010
IncN2;19;0;Inc-group;2010
IncN3;19;0;Inc-group;2010
IncP;19;0;Inc-group;2010
IncQ1;19;0;Inc-group;2010
IncQ2;19;0;Inc-group;2010
IncU;19;0;Inc-group;2010
IncX3;19;0;Inc-group;2010
IncY;19;0;Inc-group;2010
Acinetobacter;19;0;Organism;2010
Aeromonas;19;0;Organism;2010
Citrobacter;19;0;Organism;2010
Enterbacter;19;0;Organism;2010
Enterobacter;19;0;Organism;2010
Enterobacteriaceae;19;0;Organism;2010
Escherichia;19;0;Organism;2010
Klebsiella;19;4;Organism;2010
Leclercia;19;0;Organism;2010
Morganella;19;0;Organism;2010
Pantoea;19;0;Organism;2010
Proteus;19;0;Organism;2010
Pseudomonas;19;0;Organism;2010
Raoultella;19;0;Organism;2010
Salmonella;19;0;Organism;2010
Serratia;19;0;Organism;2010
Resolvase found;19;5;Transpos.;2010
Tn4401;;5;Transpos.;2010
Tn4401 fragmented;;0;Transpos.;2010
CMY;104;0;β-lactamases;2006
CTX-M;104;0;β-lactamases;2006
DHA;104;0;β-lactamases;2006
FOX;104;0;β-lactamases;2006
GES;104;0;β-lactamases;2006
IMP;104;0;β-lactamases;2006
LAP;104;0;β-lactamases;2006
OXA;104;1;β-lactamases;2006
PSE;104;0;β-lactamases;2006
SHV;104;0;β-lactamases;2006
TEM;104;1;β-lactamases;2006
VEB;104;0;β-lactamases;2006
umuC/D;104;0;features;2006
Plasmid-segregation;104;0;features;2006
Toxin-antitoxin;104;2;features;2006
psiA/B;104;0;features;2006
Mercuric Res.;104;0;features;2006
Copper Res.;104;0;features;2006
Arsenic Res.;104;0;features;2006
IncA/C;104;0;Inc-group;2006
IncA/C2;104;0;Inc-group;2006
IncFIA;104;0;Inc-group;2006
IncFIB;104;0;Inc-group;2006
IncFIC;104;0;Inc-group;2006
IncFII;104;0;Inc-group;2006
IncHI1A;104;0;Inc-group;2006
IncHI1B;104;0;Inc-group;2006
IncHI2;104;0;Inc-group;2006
IncHI2A;104;0;Inc-group;2006
IncI2;104;0;Inc-group;2006
IncL/M;104;0;Inc-group;2006
IncN;104;0;Inc-group;2006
IncN2;104;0;Inc-group;2006
IncN3;104;0;Inc-group;2006
IncP;104;0;Inc-group;2006
IncQ1;104;0;Inc-group;2006
IncQ2;104;0;Inc-group;2006
IncU;104;3;Inc-group;2006
IncX3;104;0;Inc-group;2006
IncY;104;0;Inc-group;2006
Acinetobacter;104;0;Organism;2006
Aeromonas;104;0;Organism;2006
Citrobacter;104;0;Organism;2006
Enterbacter;104;0;Organism;2006
Enterobacter;104;0;Organism;2006
Enterobacteriaceae;104;0;Organism;2006
Escherichia;104;0;Organism;2006
Klebsiella;104;4;Organism;2006
Leclercia;104;0;Organism;2006
Morganella;104;0;Organism;2006
Pantoea;104;0;Organism;2006
Proteus;104;0;Organism;2006
Pseudomonas;104;0;Organism;2006
Raoultella;104;0;Organism;2006
Salmonella;104;0;Organism;2006
Serratia;104;4;Organism;2006
Resolvase found;104;5;Transpos.;2006
Tn4401;;5;Transpos.;2006
Tn4401 fragmented;;0;Transpos.;2006
CMY;50;0;β-lactamases;2015
